estados_brasileiros,ano,cultura,producao_toneladas
Acre,2010,arroz,25826
Acre,2011,arroz,23746
Acre,2012,arroz,18358
Acre,2013,arroz,15407
Acre,2014,arroz,7490
Acre,2015,arroz,7144
Acre,2016,arroz,6375
Acre,2017,arroz,6259
Acre,2018,arroz,6201
Acre,2019,arroz,4540
Acre,2020,arroz,4626
Acre,2021,arroz,4473
Acre,2022,arroz,4605
Acre,2023,arroz,4316
Alagoas,2010,arroz,17419
Alagoas,2011,arroz,17841
Alagoas,2012,arroz,18607
Alagoas,2013,arroz,11984
Alagoas,2014,arroz,16809
Alagoas,2015,arroz,17301
Alagoas,2016,arroz,15249
Alagoas,2017,arroz,16229
Alagoas,2018,arroz,19841
Alagoas,2019,arroz,20177
Alagoas,2020,arroz,16072
Alagoas,2021,arroz,24436
Alagoas,2022,arroz,14613
Alagoas,2023,arroz,17360
Amapa,2010,arroz,4428
Amapa,2011,arroz,2833
Amapa,2012,arroz,2640
Amapa,2013,arroz,2390
Amapa,2014,arroz,2173
Amapa,2015,arroz,1600
Amapa,2016,arroz,1312
Amapa,2017,arroz,1370
Amapa,2018,arroz,835
Amapa,2019,arroz,820
Amapa,2020,arroz,835
Amapa,2021,arroz,815
Amapa,2022,arroz,890
Amapa,2023,arroz,781
Amazonas,2010,arroz,8716
Amazonas,2011,arroz,11080
Amazonas,2012,arroz,12908
Amazonas,2013,arroz,8201
Amazonas,2014,arroz,7114
Amazonas,2015,arroz,4099
Amazonas,2016,arroz,819
Amazonas,2017,arroz,744
Amazonas,2018,arroz,1224
Amazonas,2019,arroz,1100
Amazonas,2020,arroz,1680
Amazonas,2021,arroz,1147
Amazonas,2022,arroz,2963
Amazonas,2023,arroz,7003
Bahia,2010,arroz,33370
Bahia,2011,arroz,34608
Bahia,2012,arroz,24455
Bahia,2013,arroz,15777
Bahia,2014,arroz,10214
Bahia,2015,arroz,8357
Bahia,2016,arroz,7247
Bahia,2017,arroz,1729
Bahia,2018,arroz,635
Bahia,2019,arroz,471
Bahia,2020,arroz,744
Bahia,2021,arroz,732
Bahia,2022,arroz,691
Bahia,2023,arroz,687
Brasil,2010,arroz,11235986
Brasil,2011,arroz,13476994
Brasil,2012,arroz,11549881
Brasil,2013,arroz,11782549
Brasil,2014,arroz,12175602
Brasil,2015,arroz,12301201
Brasil,2016,arroz,10622189
Brasil,2017,arroz,12464766
Brasil,2018,arroz,11808412
Brasil,2019,arroz,10368639
Brasil,2020,arroz,11091011
Brasil,2021,arroz,11660605
Brasil,2022,arroz,10773990
Brasil,2023,arroz,10285663
Ceara,2010,arroz,63868
Ceara,2011,arroz,93460
Ceara,2012,arroz,51200
Ceara,2013,arroz,49268
Ceara,2014,arroz,39798
Ceara,2015,arroz,24601
Ceara,2016,arroz,14373
Ceara,2017,arroz,19799
Ceara,2018,arroz,17840
Ceara,2019,arroz,15877
Ceara,2020,arroz,16394
Ceara,2021,arroz,19362
Ceara,2022,arroz,17116
Ceara,2023,arroz,19245
Distrito Federal,2010,arroz,44
Distrito Federal,2011,arroz,270
Distrito Federal,2012,arroz,62
Distrito Federal,2013,arroz,15
Espirito Santo,2010,arroz,3375
Espirito Santo,2011,arroz,3216
Espirito Santo,2012,arroz,2808
Espirito Santo,2013,arroz,2212
Espirito Santo,2014,arroz,1369
Espirito Santo,2015,arroz,782
Espirito Santo,2016,arroz,491
Espirito Santo,2017,arroz,229
Espirito Santo,2018,arroz,376
Espirito Santo,2019,arroz,353
Espirito Santo,2020,arroz,345
Espirito Santo,2021,arroz,371
Espirito Santo,2022,arroz,373
Espirito Santo,2023,arroz,404
Goias,2010,arroz,221419
Goias,2011,arroz,201198
Goias,2012,arroz,182385
Goias,2013,arroz,146643
Goias,2014,arroz,126941
Goias,2015,arroz,108938
Goias,2016,arroz,108194
Goias,2017,arroz,123955
Goias,2018,arroz,111852
Goias,2019,arroz,165383
Goias,2020,arroz,144419
Goias,2021,arroz,124510
Goias,2022,arroz,107769
Goias,2023,arroz,94559
Maranhao,2010,arroz,589945
Maranhao,2011,arroz,707846
Maranhao,2012,arroz,439143
Maranhao,2013,arroz,481396
Maranhao,2014,arroz,586998
Maranhao,2015,arroz,314486
Maranhao,2016,arroz,152216
Maranhao,2017,arroz,244573
Maranhao,2018,arroz,206634
Maranhao,2019,arroz,155552
Maranhao,2020,arroz,154856
Maranhao,2021,arroz,168014
Maranhao,2022,arroz,181197
Maranhao,2023,arroz,184752
Mato Grosso,2010,arroz,687137
Mato Grosso,2011,arroz,654716
Mato Grosso,2012,arroz,456544
Mato Grosso,2013,arroz,497283
Mato Grosso,2014,arroz,581439
Mato Grosso,2015,arroz,607759
Mato Grosso,2016,arroz,501045
Mato Grosso,2017,arroz,647799
Mato Grosso,2018,arroz,502090
Mato Grosso,2019,arroz,444634
Mato Grosso,2020,arroz,378442
Mato Grosso,2021,arroz,392293
Mato Grosso,2022,arroz,347739
Mato Grosso,2023,arroz,324706
Mato Grosso do Sul,2010,arroz,142668
Mato Grosso do Sul,2011,arroz,157434
Mato Grosso do Sul,2012,arroz,106043
Mato Grosso do Sul,2013,arroz,95835
Mato Grosso do Sul,2014,arroz,94020
Mato Grosso do Sul,2015,arroz,99287
Mato Grosso do Sul,2016,arroz,75871
Mato Grosso do Sul,2017,arroz,98992
Mato Grosso do Sul,2018,arroz,81496
Mato Grosso do Sul,2019,arroz,53825
Mato Grosso do Sul,2020,arroz,51298
Mato Grosso do Sul,2021,arroz,67115
Mato Grosso do Sul,2022,arroz,60154
Mato Grosso do Sul,2023,arroz,43531
Minas Gerais,2010,arroz,115378
Minas Gerais,2011,arroz,82991
Minas Gerais,2012,arroz,62101
Minas Gerais,2013,arroz,42399
Minas Gerais,2014,arroz,38688
Minas Gerais,2015,arroz,24568
Minas Gerais,2016,arroz,15283
Minas Gerais,2017,arroz,8406
Minas Gerais,2018,arroz,7232
Minas Gerais,2019,arroz,7438
Minas Gerais,2020,arroz,7936
Minas Gerais,2021,arroz,8302
Minas Gerais,2022,arroz,10083
Minas Gerais,2023,arroz,10327
Para,2010,arroz,263874
Para,2011,arroz,209491
Para,2012,arroz,211335
Para,2013,arroz,205358
Para,2014,arroz,192072
Para,2015,arroz,168368
Para,2016,arroz,181660
Para,2017,arroz,187561
Para,2018,arroz,114035
Para,2019,arroz,94508
Para,2020,arroz,112470
Para,2021,arroz,113734
Para,2022,arroz,116781
Para,2023,arroz,120410
Paraiba,2010,arroz,484
Paraiba,2011,arroz,4332
Paraiba,2012,arroz,139
Paraiba,2013,arroz,177
Paraiba,2014,arroz,1009
Paraiba,2015,arroz,360
Paraiba,2016,arroz,144
Paraiba,2017,arroz,599
Paraiba,2018,arroz,1852
Paraiba,2019,arroz,2073
Paraiba,2020,arroz,2772
Paraiba,2021,arroz,3651
Paraiba,2022,arroz,3037
Paraiba,2023,arroz,1720
Parana,2010,arroz,166848
Parana,2011,arroz,192020
Parana,2012,arroz,177841
Parana,2013,arroz,175798
Parana,2014,arroz,164956
Parana,2015,arroz,163907
Parana,2016,arroz,119001
Parana,2017,arroz,165820
Parana,2018,arroz,137328
Parana,2019,arroz,138446
Parana,2020,arroz,150967
Parana,2021,arroz,152890
Parana,2022,arroz,141699
Parana,2023,arroz,148916
Pernambuco,2010,arroz,18067
Pernambuco,2011,arroz,13762
Pernambuco,2012,arroz,14653
Pernambuco,2013,arroz,12320
Pernambuco,2014,arroz,3157
Pernambuco,2015,arroz,1825
